Number of entries in Conversation Table: 85 
*****************
[ Conversation Pair , Total Bytes
[ 52.85.79.22/192.168.1.237 , 270749 ] ,
[ 192.168.1.112/192.168.1.237 , 75283 ] ,
[ 192.168.1.150/239.255.255.250 , 36812 ] ,
[ 24.105.29.76/192.168.1.237 , 34584 ] ,
[ 40.112.49.67/192.168.1.237 , 33883 ] ,
[ 66.110.49.20/192.168.1.237 , 33852 ] ,
[ 35.174.127.31/192.168.1.237 , 28810 ] ,
[ 192.168.1.1/239.255.255.250 , 27876 ] ,
[ 23.10.83.227/192.168.1.237 , 24669 ] ,
[ 66.110.49.36/192.168.1.237 , 20705 ] ,
[ 24.105.28.10/192.168.1.237 , 19609 ] ,
[ 52.109.4.5/192.168.1.237 , 18298 ] ,
[ 23.197.111.179/192.168.1.237 , 14322 ] ,
[ 52.242.211.89/192.168.1.237 , 14280 ] ,
[ 137.221.106.19/192.168.1.237 , 13302 ] ,
[ 143.204.201.8/192.168.1.237 , 10999 ] ,
[ 23.207.202.177/192.168.1.237 , 10278 ] ,
[ 13.107.3.254/192.168.1.237 , 10252 ] ,
[ 52.114.88.29/192.168.1.237 , 10108 ] ,
[ 192.168.1.237/204.79.197.222 , 9748 ] ,
[ 184.28.156.114/192.168.1.237 , 9623 ] ,
[ 143.166.11.13/192.168.1.237 , 8736 ] ,
[ 52.109.88.36/192.168.1.237 , 8577 ] ,
[ 104.92.231.222/192.168.1.237 , 8537 ] ,
[ 192.168.1.1/192.168.1.237 , 7887 ] ,
[ 137.221.106.103/192.168.1.237 , 7872 ] ,
[ 192.168.1.150/192.168.1.255 , 7198 ] ,
[ 23.196.32.90/192.168.1.237 , 7189 ] ,
[ 192.168.1.237/239.255.255.250 , 7038 ] ,
[ 184.28.156.72/192.168.1.237 , 6852 ] ,
[ 52.167.249.196/192.168.1.237 , 6502 ] ,
[ 44.228.114.75/192.168.1.237 , 6350 ] ,
[ 23.215.105.144/192.168.1.237 , 5179 ] ,
[ 137.221.106.23/192.168.1.237 , 4733 ] ,
[ 23.39.44.51/192.168.1.237 , 4393 ] ,
[ 23.219.176.51/192.168.1.237 , 3610 ] ,
[ 192.168.1.237/204.79.197.254 , 3433 ] ,
[ 184.28.156.89/192.168.1.237 , 3326 ] ,
[ 192.168.1.150/224.0.0.251 , 3272 ] ,
[ 104.70.120.65/192.168.1.237 , 3034 ] ,
[ 23.39.44.98/192.168.1.237 , 2924 ] ,
[ 23.39.44.33/192.168.1.237 , 2651 ] ,
[ 184.28.156.73/192.168.1.237 , 1928 ] ,
[ 192.168.1.127/224.0.0.251 , 1595 ] ,
[ 192.168.1.150/224.0.0.252 , 1580 ] ,
[ 192.168.1.1/192.168.1.255 , 1509 ] ,
[ 104.70.120.16/192.168.1.237 , 1467 ] ,
[ 192.168.1.127/239.255.255.250 , 1320 ] ,
[ 184.28.156.107/192.168.1.237 , 1203 ] ,
[ 104.70.120.67/192.168.1.237 , 1175 ] ,
[ 69.43.132.198/192.168.1.237 , 1086 ] ,
[ 52.149.246.39/192.168.1.237 , 1038 ] ,
[ 192.168.1.127/224.0.0.252 , 933 ] ,
[ 192.168.1.237/208.89.12.153 , 932 ] ,
[ 34.208.202.61/192.168.1.237 , 912 ] ,
[ 192.168.1.1/224.0.0.1 , 900 ] ,
[ 184.87.49.50/192.168.1.237 , 808 ] ,
[ 151.101.2.110/192.168.1.237 , 806 ] ,
[ 151.101.2.49/192.168.1.237 , 806 ] ,
[ 34.69.196.104/192.168.1.237 , 793 ] ,
[ 192.168.1.127/192.168.1.150 , 792 ] ,
[ 104.17.208.240/192.168.1.237 , 759 ] ,
[ 13.226.15.123/192.168.1.237 , 758 ] ,
[ 192.168.1.237/224.0.0.251 , 736 ] ,
[ 13.249.135.25/192.168.1.237 , 727 ] ,
[ 34.98.80.255/192.168.1.237 , 699 ] ,
[ 35.186.220.184/192.168.1.237 , 699 ] ,
[ 35.227.209.247/192.168.1.237 , 699 ] ,
[ 34.197.170.114/192.168.1.237 , 667 ] ,
[ 34.231.207.161/192.168.1.237 , 667 ] ,
[ 35.188.210.33/192.168.1.237 , 667 ] ,
[ 192.168.1.237/224.0.0.252 , 644 ] ,
[ 130.211.29.110/192.168.1.237 , 639 ] ,
[ 3.232.182.227/192.168.1.237 , 639 ] ,
[ 35.186.226.36/192.168.1.237 , 639 ] ,
[ 162.247.242.18/192.168.1.237 , 603 ] ,
[ 192.168.1.237/192.168.1.255 , 486 ] ,
[ 104.87.12.141/192.168.1.237 , 378 ] ,
[ 192.168.1.127/224.0.0.2 , 240 ] ,
[ 192.168.1.1/224.0.0.251 , 180 ] ,
[ 184.28.156.106/192.168.1.237 , 168 ] ,
[ 192.168.1.127/255.255.255.255 , 132 ] ,
[ 45.55.41.223/192.168.1.237 , 108 ] ,
[ 192.168.1.150/192.168.1.225 , 66 ] ,
[ 192.168.1.1/224.0.0.252 , 60 ]
